EventID,Ajans,Tarih,Enlem,Boylam,Derinlik,Rms,Tip,Büyüklük,Ülke,Ýl,Ýlçe,Köy,Diðer,
373780,DDA,2017-05-28 18:51:41Z,38.7510,27.8298,8.54,0.26000,ML,3.4,Türkiye,Manisa,Saruhanli,-,-
373741,DDA,2017-05-28 16:21:11Z,38.7576,27.8466,7.00,0.15000,ML,3.1,Türkiye,Manisa,Saruhanli,-,-
373693,DDA,2017-05-28 14:16:34Z,38.7020,27.7751,6.96,0.41000,ML,3.2,Türkiye,Manisa,Saruhanli,-,-
373690,DDA,2017-05-28 14:04:58Z,38.7231,27.7921,10.82,0.37000,Mw,4.8,Türkiye,Manisa,Saruhanli,-,-
373675,DDA,2017-05-28 13:08:09Z,38.7503,27.7900,7.00,0.18000,ML,3.0,Türkiye,Manisa,Saruhanli,-,-
373653,DDA,2017-05-28 11:49:47Z,38.7541,27.8043,11.75,0.34000,Mw,4.1,Türkiye,Manisa,Saruhanli,-,-
373643,DDA,2017-05-28 11:06:24Z,38.7423,27.8428,3.96,0.15000,Mw,3.5,Türkiye,Manisa,Gölmarmara,-,-
373625,DDA,2017-05-28 10:34:01Z,38.7306,27.7743,3.24,0.59000,Mw,4.1,Türkiye,Manisa,Saruhanli,-,-
373584,DDA,2017-05-28 07:38:19Z,38.7365,27.8060,9.78,0.40000,Mw,4.5,Türkiye,Manisa,Saruhanli,-,-
373578,DDA,2017-05-28 06:54:05Z,38.7271,27.8441,7.00,0.63000,ML,3.1,Türkiye,Manisa,Gölmarmara,-,-
373562,DDA,2017-05-28 06:03:11Z,38.7311,27.8281,7.00,0.18000,ML,3.2,Türkiye,Manisa,Gölmarmara,-,-
373560,DDA,2017-05-28 06:02:00Z,38.6938,27.7876,6.99,0.30000,Mw,3.9,Türkiye,Manisa,Saruhanli,-,-
373558,DDA,2017-05-28 05:57:53Z,38.7240,27.7896,8.92,0.40000,ML,3.2,Türkiye,Manisa,Saruhanli,-,-
373559,DDA,2017-05-28 05:52:55Z,38.7115,27.7956,6.90,0.56000,Mw,4.8,Türkiye,Manisa,Saruhanli,-,-
373557,DDA,2017-05-28 05:50:25Z,38.7206,27.7910,4.28,0.37000,Mw,4.6,Türkiye,Manisa,Saruhanli,-,-
373593,DDA,2017-05-28 05:42:08Z,38.7115,27.8085,11.03,0.45000,ML,3.4,Türkiye,Manisa,Saruhanli,-,-
373567,DDA,2017-05-28 05:26:03Z,38.7485,27.8403,4.10,0.18000,Mw,3.4,Türkiye,Manisa,Saruhanli,-,-
373551,DDA,2017-05-28 05:16:41Z,38.7448,27.8465,6.95,0.72000,Mw,4.0,Türkiye,Manisa,Gölmarmara,-,-
373550,DDA,2017-05-28 05:14:59Z,38.7286,27.8005,8.88,0.41000,Mw,4.4,Türkiye,Manisa,Saruhanli,-,-
373535,DDA,2017-05-28 02:57:43Z,38.6135,27.6000,7.01,0.38000,Mw,3.2,Türkiye,Manisa,Sehzadeler,-,-
373530,DDA,2017-05-28 02:04:19Z,38.7260,27.7970,6.93,0.16000,Mw,3.3,Türkiye,Manisa,Saruhanli,-,-
373522,DDA,2017-05-28 00:51:24Z,37.6030,38.4656,7.52,0.29000,Mw,3.3,Türkiye,Adiyaman,Samsat,-,-
373457,DDA,2017-05-27 19:28:17Z,38.7295,27.8401,7.00,0.20000,ML,3.1,Türkiye,Manisa,Gölmarmara,-,-
373456,DDA,2017-05-27 19:25:32Z,38.7263,27.8251,7.00,0.15000,ML,3.0,Türkiye,Manisa,Gölmarmara,-,-
373455,DDA,2017-05-27 19:22:57Z,38.7641,27.8005,5.25,0.23000,ML,3.4,Türkiye,Manisa,Saruhanli,-,-
